date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,yr_built,zipcode,year,house_age,city,typical_levy_rate,area_crime,school_rate,unemployment_rate,travel_time_to_work,median_household_income,total_population,median_age
2014-05-02,437500.0,3,2.25,1970,35100,2.0,0,4,9,1977,98027,2014,46,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-02,630000.0,4,2.75,2710,37277,2.0,0,3,9,2000,98027,2014,23,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-03,379880.0,3,2.5,1650,14054,1.0,0,4,7,1986,98027,2014,37,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-05,525888.0,5,1.75,2550,71874,1.0,0,5,7,1960,98027,2014,63,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-05,410000.0,3,2.25,1800,36704,1.0,0,4,8,1978,98027,2014,45,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-05,890000.0,5,3.5,4490,6000,2.0,0,3,10,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-05,509900.0,3,2.5,1790,2700,2.0,0,3,8,2010,98027,2014,13,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-05,555000.0,3,2.5,1940,3211,2.0,0,3,8,2009,98027,2014,14,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-05,627000.0,4,2.25,1990,7712,1.0,0,3,8,1973,98027,2014,50,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-05,415000.0,3,2.25,1620,998,2.5,0,3,8,2010,98027,2014,13,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-05,890000.0,4,4.25,4420,5750,2.0,0,3,10,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-06,606000.0,4,2.5,2110,13850,2.0,0,3,9,1987,98027,2014,36,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-07,600000.0,3,2.5,2460,108900,1.0,0,4,9,1977,98027,2014,46,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-07,535000.0,3,2.5,2280,2289,2.0,0,3,8,2006,98027,2014,17,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-07,500000.0,3,2.5,1940,37565,1.0,0,4,8,1987,98027,2014,36,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-07,560000.0,3,2.0,1860,13374,1.0,0,3,8,1985,98027,2014,38,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-07,618080.0,3,2.5,2030,6500,2.0,0,3,8,1988,98027,2014,35,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-08,295000.0,2,1.75,2200,89298,1.0,0,3,7,1973,98027,2014,50,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-09,2238890.0,5,6.5,7270,130017,2.0,0,3,12,2010,98027,2014,13,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-09,765000.0,4,2.75,2790,10819,2.0,0,3,10,1996,98027,2014,27,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-09,387000.0,3,2.25,1445,1606,2.0,0,3,7,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-09,532000.0,5,3.0,3480,57499,1.0,0,4,8,1976,98027,2014,47,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-12,788000.0,4,3.25,3680,5759,2.0,0,3,9,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-13,777000.0,3,3.25,3610,59677,2.0,0,3,10,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-14,543000.0,2,2.0,2370,217800,1.5,0,3,7,1992,98027,2014,31,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-15,828950.0,4,3.5,3930,5680,2.0,1,3,9,2013,98027,2014,10,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-15,689900.0,4,3.25,2740,7266,2.0,0,3,9,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-15,765000.0,5,3.75,3580,14275,2.0,0,3,10,1999,98027,2014,24,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-16,611000.0,3,2.5,2134,1984,2.5,0,3,8,2008,98027,2014,15,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-16,730100.0,4,2.5,3120,14300,2.0,0,3,9,2003,98027,2014,20,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-16,377500.0,3,2.25,1410,1377,2.0,0,3,7,2005,98027,2014,18,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
2014-05-19,869000.0,5,3.25,4180,49222,2.0,0,4,8,1979,98027,2014,44,Issaquah,0.1137,"1,079",0.8503823,0.051,28.6,"102,760","27,855",41.7
